Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
excavatolide B,C574336,,Alzheimer Disease,MESH:D000544,,CASP3|PPARG,5.83,4
Quinine,D011803,130-95-0,Alzheimer Disease,MESH:D000544,,APP|CYP2D6|TNF,5.83,39
Zonisamide,D000078305,68291-97-4,Alzheimer Disease,MESH:D000544,,MAOB|NPY,5.83,3
butylphen,C006862,98-54-4,Alzheimer Disease,MESH:D000544,,ESR1|TNF,5.82,1
"2-cyano-3,12-dioxooleana-1,9(11)-dien-28-oic acid ethyl amide",C518860,,Alzheimer Disease,MESH:D000544,,HMOX1|TNF,5.81,2
Aldrin,D000452,309-00-2,Alzheimer Disease,MESH:D000544,,ESR1|HMOX1|NOS3|PSEN2,5.81,7
"FSL-1 lipoprotein, synthetic",C460864,,Alzheimer Disease,MESH:D000544,,IL1B|TNF,5.81,2
prim-O-glucosylcimifugin,C498945,,Alzheimer Disease,MESH:D000544,,IL1B|TNF,5.81,2
Centella asiatica extract,C526146,,Alzheimer Disease,MESH:D000544,,INS|TNF,5.80,3
intybin,C001458,6466-74-6,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.80,1
intybin,C001458,6466-74-6,Alzheimer disease type 2,MESH:C536595,,APOE,5.80,1
intybin,C001458,6466-74-6,Alzheimer disease type 4,MESH:C536596,,APOE,5.80,1
pimagedine,C004479,79-17-4,Alzheimer disease type 4,MESH:C536596,,PSEN2,5.80,1
Cetirizine,D017332,83881-51-0,Alzheimer Disease,MESH:D000544,,APOE|NOS3,5.79,11
Dabigatran,D000069604,,Alzheimer Disease,MESH:D000544,,F2|TNF,5.79,2
Gentamicins,D005839,,Alzheimer disease type 4,MESH:C536596,,APOE|PSEN2,5.79,1
pirinixic acid,C006253,50892-23-4,Alzheimer disease type 4,MESH:C536596,,APOE|PSEN2,5.79,1
4-hydroxyphenyl 4-isopropoxyphenylsulfone,C000613560,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE|PSEN1,5.78,1
"2,4,6-tribromophenol",C004554,118-79-6,Alzheimer Disease,MESH:D000544,,ACHE|ATP5F1A|BIN1|HMOX1|IGF2R|NOS3|PPARG|TNF,5.77,13
Ganciclovir,D015774,82410-32-0,Alzheimer Disease,MESH:D000544,,BCL2|TNF,5.77,2
Mefenamic Acid,D008528,61-68-7,Alzheimer Disease,MESH:D000544,,BAX|BCL2|IL1B,5.77,2
Nandrolone,D009277,434-22-0,Alzheimer Disease,MESH:D000544,,ESR1|TNF,5.77,1
Calcium Chloride,D002122,10043-52-4,Alzheimer disease type 4,MESH:C536596,,PSEN2,5.77,1
"exoenzyme C3, Clostridium botulinum",C063007,,Alzheimer Disease,MESH:D000544,,MAPT|PPARG,5.76,10
Hepatitis B Vaccines,D017325,,Alzheimer Disease,MESH:D000544,,A2M|ENO1|HFE,5.76,6
allicin,C006452,539-86-6,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.76,1
allicin,C006452,539-86-6,Alzheimer disease type 2,MESH:C536595,,APOE,5.76,1
allicin,C006452,539-86-6,Alzheimer disease type 4,MESH:C536596,,APOE,5.76,1
"2',3,3',4',5-pentachloro-4-hydroxybiphenyl",C111118,,Alzheimer Disease,MESH:D000544,,A2M|APOC1|APOE|CALM1|CHRNA7|GAPDHS|INPP5D|MTHFR|PICALM|PILRA|PLAU|PLCG2|PRNP|TFAM|VSNL1,5.75,20
"2,4-decadienal",C057349,2363-88-4,Alzheimer Disease,MESH:D000544,,IL1B|TNF,5.75,2
2-Aminopurine,D015075,452-06-2,Alzheimer Disease,MESH:D000544,,LEP|TNF,5.75,2
Cullen corylifolium extract,C000612485,,Alzheimer Disease,MESH:D000544,,IL1B|PGRMC1|TF,5.75,4
HU 211,C062018,,ALZHEIMER DISEASE 18,OMIM:615590,,ADAM10,5.75,1
Isoflavones,D007529,,ALZHEIMER DISEASE 18,OMIM:615590,,ADAM10,5.75,1
Cetirizine,D017332,83881-51-0,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.75,1
Cetirizine,D017332,83881-51-0,Alzheimer disease type 2,MESH:C536595,,APOE,5.75,1
Cetirizine,D017332,83881-51-0,Alzheimer disease type 4,MESH:C536596,,APOE,5.75,1
nitenpyram,C464843,,Alzheimer Disease,MESH:D000544,,BAX|CHRNB2,5.74,2
ovatodiolide,C432447,,Alzheimer Disease,MESH:D000544,,BAX|CASP3,5.74,1
AGN 193109,C096920,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.74,1
AGN 193109,C096920,,Alzheimer disease type 2,MESH:C536595,,APOE,5.74,1
AGN 193109,C096920,,Alzheimer disease type 4,MESH:C536596,,APOE,5.74,1
Carbon Tetrachloride,D002251,56-23-5,Alzheimer disease type 4,MESH:C536596,,APOE|PSEN2,5.74,1
momfluorothrin,C000627226,,ALZHEIMER DISEASE 18,OMIM:615590,,ADAM10,5.73,1
"Cholesterol, HDL",D008076,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.73,1
ginkgolide B,C045856,99796-69-7,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.73,1
Go 6976,C081021,136194-77-9,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,PSEN1,5.73,1
PF-06840003,C000625742,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,PSEN1,5.73,1
propamocarb,C033205,24579-73-5,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.73,1
"Cholesterol, HDL",D008076,,Alzheimer disease type 2,MESH:C536595,,APOE,5.73,1
ginkgolide B,C045856,99796-69-7,Alzheimer disease type 2,MESH:C536595,,APOE,5.73,1
propamocarb,C033205,24579-73-5,Alzheimer disease type 2,MESH:C536595,,APOE,5.73,1
"Cholesterol, HDL",D008076,,Alzheimer disease type 4,MESH:C536596,,APOE,5.73,1
ginkgolide B,C045856,99796-69-7,Alzheimer disease type 4,MESH:C536596,,APOE,5.73,1
pifithrin,C121565,,Alzheimer disease type 4,MESH:C536596,,PSEN2,5.73,1
propamocarb,C033205,24579-73-5,Alzheimer disease type 4,MESH:C536596,,APOE,5.73,1
camostat,C034532,,Alzheimer Disease,MESH:D000544,,NOS3|TNF,5.72,3
halofuginone,C010176,,Alzheimer Disease,MESH:D000544,,PTK2B|VEGFA|VSNL1,5.71,3
Arsenic,D001151,7440-38-2,Alzheimer disease type 4,MESH:C536596,,APOE|PSEN2,5.71,1
"1,2,3-trichloropropane",C009536,96-18-4,Alzheimer Disease,MESH:D000544,,BCHE|TNF,5.70,2
1-naphthol,C029350,90-15-3,Alzheimer Disease,MESH:D000544,,BDNF|CYP2D6,5.70,2
Acenocoumarol,D000074,152-72-7,Alzheimer Disease,MESH:D000544,,APOE|F2,5.70,10
carbonyl sulfide,C010063,463-58-1,Alzheimer Disease,MESH:D000544,,A2M|ADAMTS1|IGF2,5.70,5
dechlorane plus,C526360,,Alzheimer Disease,MESH:D000544,,ACHE|ESR1,5.70,3
GSK3235025,C000599896,,Alzheimer Disease,MESH:D000544,,HMOX1|IL1B,5.70,2
HU 308,C402416,,Alzheimer Disease,MESH:D000544,,IL1B|TNF,5.70,2
Ditiocarb,D004050,147-84-2,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,PSEN1,5.70,1
enzalutamide,C540278,,Alzheimer disease type 4,MESH:C536596,,PSEN2,5.70,1
"Cholesterol, LDL",D008078,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.69,1
Cysteine,D003545,52-90-4,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,PSEN1,5.69,1
Propylthiouracil,D011441,51-52-5,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE|PSEN1,5.69,1
"Cholesterol, LDL",D008078,,Alzheimer disease type 2,MESH:C536595,,APOE,5.69,1
"Cholesterol, LDL",D008078,,Alzheimer disease type 4,MESH:C536596,,APOE,5.69,1
"3,4-dihydroxybenzohydroxamic acid",C035419,69839-83-4,Alzheimer Disease,MESH:D000544,,SOD2|TNF,5.68,2
Gestodene,C033273,60282-87-3,Alzheimer Disease,MESH:D000544,,ESR1|F2,5.68,2
iodixanol,C044834,92339-11-2,Alzheimer Disease,MESH:D000544,,HMOX1|VEGFA,5.68,2
Nitrazepam,D009567,146-22-5,Alzheimer Disease,MESH:D000544,,CASP3|ESR1,5.68,2
"Resins, Plant",D012116,,Alzheimer Disease,MESH:D000544,,BCL2|CASP3,5.68,1
"3,5,5-trimethylhexanoylferrocene",C050224,67527-18-8,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.68,1
Acenocoumarol,D000074,152-72-7,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.68,1
"3,5,5-trimethylhexanoylferrocene",C050224,67527-18-8,Alzheimer disease type 2,MESH:C536595,,APOE,5.68,1
Acenocoumarol,D000074,152-72-7,Alzheimer disease type 2,MESH:C536595,,APOE,5.68,1
"3,5,5-trimethylhexanoylferrocene",C050224,67527-18-8,Alzheimer disease type 4,MESH:C536596,,APOE,5.68,1
Acenocoumarol,D000074,152-72-7,Alzheimer disease type 4,MESH:C536596,,APOE,5.68,1
Dexamethasone,D003907,50-02-2,Alzheimer disease type 4,MESH:C536596,,APOE|PSEN2,5.68,1
fenamidone,C540355,,Alzheimer Disease,MESH:D000544,,ADAMTS1|HMOX1|PLAU|TPP1|VSNL1,5.67,5
indium trichloride,C020758,10025-82-8,Alzheimer Disease,MESH:D000544,,APOE|ENO1,5.67,10
LG 100268,C095104,,Alzheimer Disease,MESH:D000544,,INS|PPARG,5.67,5
Lithium Carbonate,D016651,554-13-2,Alzheimer Disease,MESH:D000544,,CASP3|IL1B|NOS3|TNF,5.67,5
palytoxin,C010272,11077-03-5,Alzheimer Disease,MESH:D000544,,NOS3|VEGFA,5.67,3
yessotoxin,C066632,,Alzheimer Disease,MESH:D000544,,DHCR24|TPI1|TPP1,5.67,3
Venlafaxine Hydrochloride,D000069470,,ALZHEIMER DISEASE 18,OMIM:615590,,ADAM10,5.67,1
indium trichloride,C020758,10025-82-8,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.67,1
indium trichloride,C020758,10025-82-8,Alzheimer disease type 2,MESH:C536595,,APOE,5.67,1
indium trichloride,C020758,10025-82-8,Alzheimer disease type 4,MESH:C536596,,APOE,5.67,1
4-aminobenzhydrazide,C034343,5351-17-7,Alzheimer Disease,MESH:D000544,,HMOX1|MPO,5.66,3
9-phenanthrol,C091375,,Alzheimer Disease,MESH:D000544,,ESR1|PPARG,5.66,4
benzyl isothiocyanate,C031403,622-78-6,Alzheimer Disease,MESH:D000544,,CASP3|HMOX1,5.66,2
Prazosin,D011224,19216-56-9,Alzheimer Disease,MESH:D000544,,HMOX1|IGF1|NPY,5.66,3
casticin,C054133,479-91-4,ALZHEIMER DISEASE 18,OMIM:615590,,ADAM10,5.66,1
abemaciclib,C000590451,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.66,1
Carbon Tetrachloride,D002251,56-23-5,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE|PSEN1,5.66,1
abemaciclib,C000590451,,Alzheimer disease type 2,MESH:C536595,,APOE,5.66,1
abemaciclib,C000590451,,Alzheimer disease type 4,MESH:C536596,,APOE,5.66,1
resiniferatoxin,C024353,57444-62-9,Alzheimer Disease,MESH:D000544,,IL1B|TNF,5.65,2
Biological Products,D001688,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,PSEN1,5.65,1
Resveratrol,D000077185,,Alzheimer disease type 4,MESH:C536596,,APOE|PSEN2,5.65,1
Liuwei Dihuang Decoction,C042579,,Alzheimer Disease,MESH:D000544,,AMFR,5.64,1
Uridine,D014529,58-96-8,Alzheimer Disease,MESH:D000544,,BAX|CASP3,5.64,1
cetrorelix,C062876,120287-85-6,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.64,1
Felodipine,D015736,72509-76-3,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.64,1
cetrorelix,C062876,120287-85-6,Alzheimer disease type 2,MESH:C536595,,APOE,5.64,1
Felodipine,D015736,72509-76-3,Alzheimer disease type 2,MESH:C536595,,APOE,5.64,1
cetrorelix,C062876,120287-85-6,Alzheimer disease type 4,MESH:C536596,,APOE,5.64,1
Felodipine,D015736,72509-76-3,Alzheimer disease type 4,MESH:C536596,,APOE,5.64,1
Ozone,D010126,10028-15-6,Alzheimer disease type 4,MESH:C536596,,APOE|PSEN2,5.64,1
"N-(1,3-dimethylbutyl)-N'-phenyl-p-phenylenediamine quinone",C000729973,,Alzheimer Disease,MESH:D000544,,ACHE|APH1B|ARC|IDE|IL1B|INPP5D|MPO|NOS3|SOD2|TNF|TPP1,5.63,13
Arsenic,D001151,7440-38-2,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE|PSEN1,5.63,1
Desogestrel,D017135,54024-22-5,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.63,1
Desogestrel,D017135,54024-22-5,Alzheimer disease type 2,MESH:C536595,,APOE,5.63,1
Desogestrel,D017135,54024-22-5,Alzheimer disease type 4,MESH:C536596,,APOE,5.63,1
fucoxanthin,C025164,3351-86-8,Alzheimer disease type 4,MESH:C536596,,PSEN2,5.63,1
dicyclanil,C121718,,Alzheimer Disease,MESH:D000544,,APOC1|CYP46A1|HMOX1,5.62,4
momfluorothrin,C000627226,,Alzheimer Disease,MESH:D000544,,ADAM10|APP|NECTIN2|WWOX,5.62,40
6-methyl-2-(phenylethynyl)pyridine,C121465,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.62,1
Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.62,1
6-methyl-2-(phenylethynyl)pyridine,C121465,,Alzheimer disease type 2,MESH:C536595,,APOE,5.62,1
Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,,Alzheimer disease type 2,MESH:C536595,,APOE,5.62,1
6-methyl-2-(phenylethynyl)pyridine,C121465,,Alzheimer disease type 4,MESH:C536596,,APOE,5.62,1
Diethylhexyl Phthalate,D004051,117-81-7,Alzheimer disease type 4,MESH:C536596,,APOE|PSEN2,5.62,1
Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,,Alzheimer disease type 4,MESH:C536596,,APOE,5.62,1
cumene,C015763,98-82-8,Alzheimer Disease,MESH:D000544,,CLU|ENO1,5.61,4
p-Chloromercuribenzoic Acid,D020245,59-85-8,Alzheimer Disease,MESH:D000544,,ADAMTS1|BCHE|CASP3|CLU|HMOX1|INPP5D|TPP1|VEGFA,5.61,10
phosphine,C044646,7803-51-2,Alzheimer Disease,MESH:D000544,,HMOX1|NOS3,5.61,3
Triazolam,D014229,28911-01-5,Alzheimer Disease,MESH:D000544,,ARC|BDNF,5.61,2
cyclo(Trp-Asp-Pro-Val-Leu),C072247,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.61,1
theaflavin,C056068,4670-05-7,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.61,1
cyclo(Trp-Asp-Pro-Val-Leu),C072247,,Alzheimer disease type 2,MESH:C536595,,APOE,5.61,1
theaflavin,C056068,4670-05-7,Alzheimer disease type 2,MESH:C536595,,APOE,5.61,1
cyclo(Trp-Asp-Pro-Val-Leu),C072247,,Alzheimer disease type 4,MESH:C536596,,APOE,5.61,1
theaflavin,C056068,4670-05-7,Alzheimer disease type 4,MESH:C536596,,APOE,5.61,1
"7,12-benz(a)anthraquinone",C077646,2498-66-0,Alzheimer Disease,MESH:D000544,,HMOX1|SOD2,5.60,2
Acetylmuramyl-Alanyl-Isoglutamine,D000119,53678-77-6,Alzheimer Disease,MESH:D000544,,IL1B|TNF,5.60,2
AM 1241,C439263,,Alzheimer Disease,MESH:D000544,,IL1B|TNF,5.60,2
"N4-(2,2-dimethyl-3-oxo-4H-pyrid(1,4)oxazin-6-yl)-5-fluoro-N2-(3,4,5-trimethoxyphenyl)-2,4-pyrimidinediamine",C510788,,Alzheimer Disease,MESH:D000544,,IL1B|TNF,5.60,2
O(6)-benzylguanine,C064976,,Alzheimer Disease,MESH:D000544,,BAX|BCL2,5.60,1
4-nonylphenol,C041594,104-40-5,ALZHEIMER DISEASE 18,OMIM:615590,,ADAM10,5.60,1
methyl-beta-cyclodextrin,C108732,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.60,1
methyl-beta-cyclodextrin,C108732,,Alzheimer disease type 2,MESH:C536595,,APOE,5.60,1
methyl-beta-cyclodextrin,C108732,,Alzheimer disease type 4,MESH:C536596,,APOE,5.60,1
"Nanotubes, Carbon",D037742,,Alzheimer disease type 4,MESH:C536596,,APOE|PSEN2,5.60,1
Staurosporine,D019311,62996-74-1,Alzheimer disease type 4,MESH:C536596,,PSEN2,5.60,1
1-(1-dimethylaminomethyl-5-methoxybenzocyclobutan-1-yl)cyclohexanol,C432168,,Alzheimer Disease,MESH:D000544,,ARC,5.59,1
Afatinib,D000077716,850140-72-6,Alzheimer Disease,MESH:D000544,,BAX|CASP3,5.59,1
OM99-2,C414614,,Alzheimer Disease,MESH:D000544,,BACE1,5.59,1
rhamnazin,C000597862,,Alzheimer Disease,MESH:D000544,,BACE1,5.59,1
Tosylphenylalanyl Chloromethyl Ketone,D014108,402-71-1,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.59,1
Vitamin K,D014812,12001-79-5,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.59,1
Tosylphenylalanyl Chloromethyl Ketone,D014108,402-71-1,Alzheimer disease type 2,MESH:C536595,,APOE,5.59,1
Vitamin K,D014812,12001-79-5,Alzheimer disease type 2,MESH:C536595,,APOE,5.59,1
benazol P,C033674,2440-22-4,Alzheimer disease type 4,MESH:C536596,,PSEN2,5.59,1
Smoke,D012906,,Alzheimer disease type 4,MESH:C536596,,APOE|PSEN2,5.59,1
Tosylphenylalanyl Chloromethyl Ketone,D014108,402-71-1,Alzheimer disease type 4,MESH:C536596,,APOE,5.59,1
Vitamin K,D014812,12001-79-5,Alzheimer disease type 4,MESH:C536596,,APOE,5.59,1
3-(4-hydroxy-2-methoxybenzylidene)anabaseine,C116666,,Alzheimer Disease,MESH:D000544,,CHRNA7,5.58,1
"4-((3-(5,6-dihydro-4H-(2,3')bipyridinyl-3-ylidene)propenyl)phenyl)dimethylamine",C412895,,Alzheimer Disease,MESH:D000544,,CHRNA7,5.58,1
adefovir dipivoxil,C106812,142340-99-6,Alzheimer Disease,MESH:D000544,,BAX|HMOX1|PPARG,5.58,5
alpha-conotoxin ImI,C087686,156467-85-5,Alzheimer Disease,MESH:D000544,,CHRNA7,5.58,1
AR-R 17779,C408128,,Alzheimer Disease,MESH:D000544,,CHRNA7,5.58,1
Nicotinic Antagonists,D018733,,Alzheimer Disease,MESH:D000544,,CHRNA7,5.58,1
2-bromopalmitate,C022776,18263-25-7,ALZHEIMER DISEASE 18,OMIM:615590,,ADAM10,5.58,1
pimagedine,C004479,79-17-4,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,PSEN1,5.58,1
Methylnitronitrosoguanidine,D008769,70-25-7,ALZHEIMER DISEASE 18,OMIM:615590,,ADAM10,5.57,1
Resveratrol,D000077185,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE|PSEN1,5.57,1
Lovastatin,D008148,75330-75-5,ALZHEIMER DISEASE 18,OMIM:615590,,ADAM10,5.56,1
fexofenadine,C093230,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.56,1
Ozone,D010126,10028-15-6,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE|PSEN1,5.56,1
fexofenadine,C093230,,Alzheimer disease type 2,MESH:C536595,,APOE,5.56,1
Dietary Fats,D004041,,Alzheimer disease type 4,MESH:C536596,,APOE|PSEN2,5.56,1
fexofenadine,C093230,,Alzheimer disease type 4,MESH:C536596,,APOE,5.56,1
Ketotifen,D007665,34580-13-7,Alzheimer Disease,MESH:D000544,,IL1B|TNF,5.55,2
tibolone,C027385,,Alzheimer Disease,MESH:D000544,,CASP3|ESR1,5.55,2
Cyclic GMP,D006152,7665-99-8,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.55,1
Cyclic GMP,D006152,7665-99-8,Alzheimer disease type 2,MESH:C536595,,APOE,5.55,1
Cyclic GMP,D006152,7665-99-8,Alzheimer disease type 4,MESH:C536596,,APOE,5.55,1
"5-(2,4-dihydroxy-5-isopropylphenyl)-4-(4-morpholin-4-ylmethylphenyl)isoxazole-3-carboxylic acid ethylamide",C528044,,Alzheimer Disease,MESH:D000544,,CASP3|IGF1R,5.54,2
Acids,D000143,,Alzheimer Disease,MESH:D000544,,BCL2|MPO,5.54,3
systhane,C446685,,Alzheimer Disease,MESH:D000544,,APP|BAX|CCDC6|DHCR24|ESR1|HFE|PLAU|PPARG|TNF,5.54,45
"Fatty Acids, Essential",D005228,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.54,1
Pyruvaldehyde,D011765,78-98-8,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,PSEN1,5.54,1
"Fatty Acids, Essential",D005228,,Alzheimer disease type 2,MESH:C536595,,APOE,5.54,1
"Fatty Acids, Essential",D005228,,Alzheimer disease type 4,MESH:C536596,,APOE,5.54,1
nodularin,C063998,,Alzheimer Disease,MESH:D000544,,BCL2|TNF,5.53,2
ormosil,C510784,,Alzheimer Disease,MESH:D000544,,IL1B|PLAU|TF,5.53,4
senkirkine,C009238,2318-18-5,Alzheimer Disease,MESH:D000544,,CASP3|CYP2D6|MAOB,5.53,4
"14-deoxy-11,12-didehydroandrographolide",C495626,,Alzheimer disease type 4,MESH:C536596,,PSEN2,5.53,1
Ciguatoxins,D002922,11050-21-8,Alzheimer Disease,MESH:D000544,,DHCR24|ENO1|EPHA1|ESR1|IGF1|IL1B|MAPT|SLC2A4,5.52,14
Inositol,D007294,6917-35-7,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.52,1
"Nanotubes, Carbon",D037742,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE|PSEN1,5.52,1
Inositol,D007294,6917-35-7,Alzheimer disease type 2,MESH:C536595,,APOE,5.52,1
Inositol,D007294,6917-35-7,Alzheimer disease type 4,MESH:C536596,,APOE,5.52,1
galaxolide,C033119,1222-05-5,Alzheimer Disease,MESH:D000544,,ESR1|VEGFA,5.51,2
Microcystins,D052998,,Alzheimer Disease,MESH:D000544,,BAX|BCL2,5.51,1
Soil Pollutants,D012989,,Alzheimer Disease,MESH:D000544,,ACHE|ESR1,5.51,3
Scopolamine,D012601,,Alzheimer disease type 4,MESH:C536596,,PSEN2,5.51,1
triphenyl phosphate,C005445,115-86-6,Alzheimer disease type 4,MESH:C536596,,APOE|PSEN2,5.51,1
dimethylmonothioarsinic acid,C518667,,Alzheimer Disease,MESH:D000544,,BAX|CASP3,5.50,1
ethyl-p-hydroxybenzoate,C012313,120-47-8,Alzheimer Disease,MESH:D000544,,ESR1|IGF2|LEP|MAOB|MAPT|MIR375|PPARG,5.50,14
N-Nitrosopyrrolidine,D009242,930-55-2,Alzheimer Disease,MESH:D000544,,ACHE|ADAMTS1|CYP2D6|HMOX1|IGF1|PTK2B|TF|WWOX,5.50,9
bisphenol F,C000611646,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE|PSEN1,5.50,1
4-hydroxy-equilenin,C065250,81608-60-8,Alzheimer Disease,MESH:D000544,,ESR1|PLCG2,5.49,2
Benztropine,D001590,86-13-5,Alzheimer Disease,MESH:D000544,,DHCR24|DPYSL2|ENO1|IL1B|NECTIN2,5.49,6
HhAntag691,C538724,,Alzheimer Disease,MESH:D000544,,BCL2|CASP3,5.49,1
quizartinib,C544967,,Alzheimer Disease,MESH:D000544,,BCL2|CASP3,5.49,1
"4-chloro-N-((4-(1,1-dimethylethyl)phenyl)methyl)-3-ethyl-1-methyl-1H-pyrazole-5-carboxamide",C429623,119168-77-3,ALZHEIMER DISEASE 18,OMIM:615590,,ADAM10,5.49,1
Desoxycorticosterone Acetate,D064791,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.49,1
glyceryl 2-arachidonate,C094503,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.49,1
Desoxycorticosterone Acetate,D064791,,Alzheimer disease type 2,MESH:C536595,,APOE,5.49,1
glyceryl 2-arachidonate,C094503,,Alzheimer disease type 2,MESH:C536595,,APOE,5.49,1
Aluminum Chloride,D000077410,,Alzheimer disease type 4,MESH:C536596,,PSEN2,5.49,1
Desoxycorticosterone Acetate,D064791,,Alzheimer disease type 4,MESH:C536596,,APOE,5.49,1
glyceryl 2-arachidonate,C094503,,Alzheimer disease type 4,MESH:C536596,,APOE,5.49,1
fenbuconazole,C504383,,Alzheimer Disease,MESH:D000544,,ESR1|SOD2,5.48,2
fenoxycarb,C052034,72490-01-8,Alzheimer Disease,MESH:D000544,,ACE|ACHE|CHRNB2|GSK3B|NCK2,5.48,9
pentanal,C046012,110-62-3,Alzheimer Disease,MESH:D000544,,APOE|ARC|BCL2|DHCR24|F2|IGF2|MAPT|MTHFR|SOD2|TF|TNF,5.48,23
testosterone enanthate,C004648,,Alzheimer Disease 9,MESH:C563834,,ABCA7,5.48,1
enzalutamide,C540278,,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,PSEN1,5.48,1
Trihexyphenidyl,D014282,144-11-6,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,5.48,1
Trihexyphenidyl,D014282,144-11-6,Alzheimer disease type 2,MESH:C536595,,APOE,5.48,1
Trihexyphenidyl,D014282,144-11-6,Alzheimer disease type 4,MESH:C536596,,APOE,5.48,1
Antigen-Antibody Complex,D000936,,Alzheimer Disease,MESH:D000544,,CASP3|TNF,5.47,2
Mequindox,C545385,,Alzheimer Disease,MESH:D000544,,ACE|TNF,5.47,5
ptaquiloside,C043680,87625-62-5,Alzheimer Disease,MESH:D000544,,IGF1|LEP|TNF,5.47,3
