drug_name,protein_target,inference_score
Dronabinol,IL1B,21.99
Dronabinol,IQCK,21.99
Dronabinol,LEP,21.99
Dronabinol,MAOB,21.99
Dronabinol,NCSTN,21.99
Dronabinol,NOS3,21.99
Dronabinol,PGRMC1,21.99
Dronabinol,PLAU,21.99
Dronabinol,PPARG,21.99
Dronabinol,PSEN1,21.99
Dronabinol,RELN,21.99
Dronabinol,SOD2,21.99
Dronabinol,TF,21.99
Dronabinol,TFAM,21.99
Dronabinol,TNF,21.99
Dronabinol,TREM2,21.99
Dronabinol,VEGFA,21.99
Cholecalciferol,ACHE,21.24
Cholecalciferol,BAX,21.24
Cholecalciferol,BCL2,21.24
Cholecalciferol,CASP3,21.24
Cholecalciferol,CYP2D6,21.24
Cholecalciferol,INS,21.24
Cholecalciferol,PPARG,21.24
Cholecalciferol,SLC2A4,21.24
Cholecalciferol,TNF,21.24
Cholecalciferol,VEGFA,21.24
Reserpine,ACHE,20.83
Reserpine,ARC,20.83
Reserpine,BAX,20.83
Reserpine,BCL2,20.83
Reserpine,BDNF,20.83
Reserpine,CASP3,20.83
Reserpine,CRH,20.83
Reserpine,LEP,20.83
Reserpine,NPY,20.83
Reserpine,TNF,20.83
Sulindac Sulfide,APP,20.19
Sulindac Sulfide,BAX,20.19
Sulindac Sulfide,BCL2,20.19
Sulindac Sulfide,CASP3,20.19
Sulindac Sulfide,DHCR24,20.19
Sulindac Sulfide,ESR1,20.19
Sulindac Sulfide,PLAU,20.19
Sulindac Sulfide,PPARG,20.19
Sulindac Sulfide,PSEN1,20.19
Sulindac Sulfide,TNF,20.19
Physostigmine,ACHE,19.89
Physostigmine,APP,19.89
Physostigmine,BCHE,19.89
Physostigmine,CHRNB2,19.89
Physostigmine,HMOX1,19.89
Physostigmine,IL1B,19.89
Physostigmine,SOD2,19.89
Physostigmine,TNF,19.89
Dipyridamole,APOE,18.39
Dipyridamole,CASP3,18.39
Dipyridamole,HMOX1,18.39
Dipyridamole,IL1B,18.39
Dipyridamole,INSR,18.39
Dipyridamole,LEP,18.39
Dipyridamole,TNF,18.39
Dipyridamole,VEGFA,18.39
Entacapone,BAX,14.6
Entacapone,BCL2,14.6
Entacapone,CASP3,14.6
Entacapone,HMOX1,14.6
Entacapone,IL1B,14.6
Thiourea,ACHE,14.44
Thiourea,APP,14.44
Thiourea,BAX,14.44
Thiourea,BCHE,14.44
Thiourea,CASP3,14.44
Tideglusib,GSK3B,13.41
Tideglusib,HMOX1,13.41
Tideglusib,PPARG,13.41
Puag-haad,BCL2,13.29
Puag-haad,CASP3,13.29
Puag-haad,HMOX1,13.29
Puag-haad,PPARG,13.29
Puag-haad,TNF,13.29
Amphotericin B,APP,10.21
Amphotericin B,CASP3,10.21
Amphotericin B,CLU,10.21
Amphotericin B,ENO1,10.21
Amphotericin B,HMOX1,10.21
Amphotericin B,IL1B,10.21
Amphotericin B,INS,10.21
Amphotericin B,TNF,10.21
Clioquinol,ACHE,10.1
Clioquinol,APP,10.1
Clioquinol,CASP3,10.1
Clioquinol,HMOX1,10.1
Clioquinol,VEGFA,10.1
Semagacestat,APP,9.84
Semagacestat,PSEN1,9.84
Midazolam,BCL2,9.74
Midazolam,CYP2D6,9.74
Midazolam,IL1B,9.74
Midazolam,TNF,9.74
Midazolam,TREM2,9.74
Fluvoxamine,CASP3,8.02
Fluvoxamine,CYP2D6,8.02
Fluvoxamine,IL1B,8.02
Fluvoxamine,TNF,8.02
Ceftriaxone,BACE1,7.71
Ceftriaxone,IDE,7.71
Ceftriaxone,IL1B,7.71
Ceftriaxone,TNF,7.71
Tolcapone,AMFR,7.46
Tolcapone,APOE,7.46
Tolcapone,DHCR24,7.46
Tolcapone,SOD2,7.46
Tolcapone,TOMM40,7.46
Tolcapone,VSNL1,7.46
1-(3-chlorophenyl)piperazine,CYP2D6,6.55
1-(3-chlorophenyl)piperazine,LEP,6.55
Goserelin,BCL2,6.51
Goserelin,ESR1,6.51
Thioridazine,CASP3,5.19
Thioridazine,CRH,5.19
Thioridazine,CYP2D6,5.19
ABT-418,CHRNB2,4.76
Avagacestat,APP,3.99
Trazodone,IL1B,3.84
Trazodone,SOD2,3.84
Maprotiline,CASP3,2.39
